"usuario.puntuacion","puntuacion.calidad_construccion","marca","GPS.notes","puntuacion.visor","fecha_lanzamiento","caracteristicas.resolucion","puntuacion.general","caracteristicas.velocidad_obturador","modelo","puntuacion.modo_video","puntuacion.puntuacion_calidad_raw","caracteristicas.peso","puntuacion.precision","tipo_sensor","puntuacion.calidad_jpg","precio","GPS","puntuacion.caracteristicas","puntuacion.ergonomia_manejo","puntuacion.pro_review","puntuacion.luz_baja_alto_ISO","tipo_cuerpo","caracteristicas.volumen"
90,92.8571428571429,"Leica",NA,90,"2019","8368 x 5584",50,"1/2000 sec","Leica Q2",50,88.2857142857143,734,78.5714285714286,"CMOS",72.0779220779221,4995,"None",66.6666666666667,78.5714285714286,84,72.4675324675325,"Large sensor compact",956800
NA,71.4285714285714,"Ricoh","Includes e-Compass",71.4285714285714,"2019","5184 x 3888",64.2857142857143,"1/4000 sec","Ricoh WG-6",57.1428571428571,80.6428571428571,246,68.9285714285714,"CMOS",64.2857142857143,399,"Built-in",64.2857142857143,64.2857142857143,73,64.2857142857143,"Compact",257004
NA,71.4285714285714,"Ricoh","Includes e-Compass",71.4285714285714,"2019","5184 x 3888",64.2857142857143,"1/4000 sec","Ricoh G900",57.1428571428571,80.6428571428571,247,68.9285714285714,"CMOS",64.2857142857143,799,"Built-in",64.2857142857143,64.2857142857143,73,64.2857142857143,"Compact",257004
85,67.1428571428571,"Panasonic",NA,81.4285714285714,"2019","5472 x 3648",64.2857142857143,"1/4000 sec","Panasonic Lumix DC-FZ1000 II",78.5714285714286,73.7142857142857,808,75,"CMOS",67.2727272727273,899,"None",80.9523809523809,82.8571428571429,83,72.3376623376623,"SLR-like (bridge)",1741344
NA,71.4285714285714,"Panasonic",NA,71.4285714285714,"2019","5184 x 3888",71.4285714285714,"1/2000 sec","Panasonic Lumix DC-ZS80 (Lumix DC-TZ95)",82.8571428571429,70.7142857142857,327,72.8571428571429,"CMOS",64.0692640692641,449,"None",85.7142857142857,71.4285714285714,81,67.5324675324675,"Compact",324576
80,78.1919006919007,"Fujifilm",NA,72.5961538461539,"2019","4608 x 3456",68.4635734635735,"1/2000 sec","Fujifilm FinePix XP140",52.6760276760277,74.9602157102157,207,67.7672327672328,"CMOS",68.0307758085536,229,"None",71.5586419753086,76.4692714692715,79.0968660968661,68.5335035335035,"Ultracompact",218680
93.0116,78.5714285714286,"Fujifilm",NA,71.4285714285714,"2019","6240 x 4160",88.5714285714286,"1/4000 sec","Fujifilm X-T30",90,86.4285714285714,383,71.4285714285714,"CMOS",78.2828282828283,899,"None",80.9523809523809,68.5714285714286,84,78.5714285714286,"SLR-style mirrorless",460318
97,74.2857142857143,"Canon",NA,85.7142857142857,"2019","6240 x 4160",92.8571428571429,"1/4000 sec","Canon EOS RP",57.1428571428571,76,485,78.5714285714286,"CMOS",72.3088023088023,1299,"None",71.4285714285714,71.4285714285714,83,75.3246753246753,"SLR-style mirrorless",791350
80,95.7142857142857,"Panasonic",NA,95.7142857142857,"2019","6000 x 4000",64.2857142857143,"1/8000 sec","Panasonic Lumix DC-S1",92.8571428571429,90.1428571428571,899,76.4285714285714,"CMOS",83.030303030303,2499,"None",91.4285714285714,85.7142857142857,88,90.7792207792208,"SLR-style mirrorless",1589830
95.2272,95.7142857142857,"Panasonic",NA,85.7142857142857,"2019","8368 x 5584",64.2857142857143,"1/8000 sec","Panasonic Lumix DC-S1R",78.5714285714286,90.1428571428571,898,74.2857142857143,"CMOS",83.1890331890332,3699,"None",91.9047619047619,85.7142857142857,89,83.7662337662338,"SLR-style mirrorless",1589830
94.1464,97.1428571428571,"Olympus","Also captures direction, temperature, pressure and acceleration",78.5714285714286,"2019","5184 x 3888",57.1428571428571,"1/8000 sec","Olympus OM-D E-M1X",78.5714285714286,72.1428571428571,997,72.8571428571429,"CMOS",70.8513708513708,2999,"Built-in",91.4285714285714,92.8571428571429,85,65.5844155844156,"SLR-style mirrorless",1587600
NA,57.1428571428571,"Nikon",NA,82.5814275814276,"2019","4608 x 3456",54.7619047619048,"1/4000 sec","Nikon Coolpix B600",66.6666666666667,53.5714285714286,500,72.3841698841699,"CMOS",59.3650793650794,329,"None",83.3333333333333,73.8095238095238,76.3333333333333,58.3333333333333,"SLR-like (bridge)",990396
65,66.0714285714286,"Nikon",NA,82.5814275814276,"2019","4608 x 3456",55.3571428571429,"1/4000 sec","Nikon Coolpix A1000",62.5,55.3571428571429,330,72.3841698841699,"CMOS",50.0744047619048,479,"None",66.9642857142857,67.8571428571429,72,51.7857142857143,"Compact",336528
93.3334,82.8571428571429,"Sony",NA,77.1428571428571,"2019","6000 x 4000",88.5714285714286,"1/4000 sec","Sony a6400",78.5714285714286,87,403,87.1428571428571,"CMOS",80.5627705627706,900,"None",83.3333333333333,47.1428571428571,85,84.9350649350649,"Rangefinder-style mirrorless",482400
84,89.2857142857143,"Leica",NA,87.8571428571429,"2018","4736 x 3552",39.2857142857143,"1/4000 sec","Leica D-Lux 7",32.1428571428571,83.7142857142857,403,76.7857142857143,"CMOS",69.5526695526696,1195,"None",66.6666666666667,71.4285714285714,82,67.0779220779221,"Large sensor compact",498432
NA,89.2857142857143,"Leica",NA,87.8571428571429,"2018","6000 x 4000",39.2857142857143,"1/2000 sec","Leica Q-P",32.1428571428571,83.7142857142857,640,76.7857142857143,"CMOS",69.5526695526696,4995,"None",66.6666666666667,71.4285714285714,82,67.0779220779221,"Large sensor compact",967200
90,80.2380952380952,"Canon",NA,85.2380952380952,"2018","6720 x 4480",72.3809523809524,"1/8000 sec","Canon EOS Ra",64.0476190476191,82.1428571428571,660,79.1666666666667,"CMOS",74.99037999038,2499,"None",77.9365079365079,75,84.1666666666667,75.2380952380952,"SLR-style mirrorless",1119552
NA,71.4285714285714,"Ricoh",NA,71.4285714285714,"2018","4608 x 3456",64.2857142857143,"1/4000 sec","Ricoh WG-60",57.1428571428571,80.6428571428571,193,68.9285714285714,"CMOS",64.2857142857143,279,"None",64.2857142857143,64.2857142857143,73,64.2857142857143,"Compact",228780
95,89.8701298701299,"Leica","via optional Visoflex EVF",88.7012987012987,"2018","5952 x 3992",38.3116883116883,"1/4000 sec","Leica M10-D",35.7142857142857,83.7662337662338,660,76.9480519480519,"CMOS",69.2968647514102,7995,"Optional",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"Rangefinder-style mirrorless",422560
80,90,"Fujifilm",NA,71.4285714285714,"2018","8256 x 6192",57.1428571428571,"1/4000 sec","Fujifilm GFX 50R",50,95,775,78.5714285714286,"CMOS",82.7705627705628,4499,"None",78.5714285714286,68.5714285714286,84,89.6103896103896,"Rangefinder-style mirrorless",1030722
80,85.7142857142857,"Ricoh",NA,64.2857142857143,"2018","6000 x 4000",78.5714285714286,"1/4000 sec","Ricoh GR III",28.5714285714286,85.7142857142857,257,70,"CMOS",68.8311688311688,899,"None",71.4285714285714,78.5714285714286,81,76.6233766233766,"Large sensor compact",223014
NA,NA,"All Cameras",NA,NA,"2018",NA,NA,NA,"GoPro Hero7 Black",NA,NA,116,NA,"CMOS",NA,330,"Built-in",NA,NA,NA,NA,"VR/Action camera",92070
NA,NA,"All Cameras",NA,NA,"2018",NA,NA,NA,"GoPro Hero7 Silver",NA,NA,116,NA,"CMOS",NA,200,"Built-in",NA,NA,NA,NA,"VR/Action camera",78120
